su|soo|His/Her/Their/Your (formal)  
pregunta|preh-GOON-tah|Question  
aprender|ah-prehn-DEHR|To learn  
ciudad|see-oo-DAHD|City  
camarero|kah-mah-REH-roh|Waiter  
vivir|bee-VEER|To live  
quién|kyehn|Who  
la película|lah peh-LEE-koo-lah|The movie  
baile|BYE-leh|Dance  
divertido|dee-vehr-TEE-doh|Fun  
fiesta|FYEHS-tah|Party  
cuándo|KWAHN-doh|When  
izquierda|ees-KYEHR-dah|Left  
tomar|toh-MAHR|To take  
derecha|deh-REH-chah|Right  
metro|MEH-troh|Subway/Metro  
al lado|ahl LAH-doh|Next to  
están|ehs-TAHN|They are  
lejos|LEH-hohs|Far  
puerta|PWEHR-tah|Door  
