triste|TREES-teh|Sad  
contigo|kohn-TEE-goh|With you  
conmigo|kohn-MEE-goh|With me  
qué tal|keh tahl|How about / How are you  
enfermo|ehn-FEHR-moh|Sick  
emocionar|eh-moh-syoh-NAHR|To excite  
ahora|ah-OH-rah|Now  
lee|LEH-eh|Reads  
negocio|neh-GOH-syoh|Business  
tener|teh-NEHR|To have  
correo electrónico|koh-RREH-oh eh-lehk-TROH-nee-koh|Email  
poco|POH-koh|Little  
cuál|kwahl|Which  
carta|KAHR-tah|Letter  
mensaje|mehn-SAH-heh|Message  
jefe|HEH-feh|Boss  
secretario|seh-kreh-TAH-ryoh|Secretary  
alto|AHL-toh|Tall  
simpática|seem-PAH-tee-kah|Nice (feminine)  
bajo|BAH-hoh|Short  
